epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.0869,1.18772,1.54549,1.2579,0.85484,0.83129,0.82835,0.55873,1.15408,1.29791,1.2689,0.000660436,0.000660436,0.000660436
2,29.1284,1.22505,1.1615,1.27525,0.78402,0.79932,0.81668,0.57728,1.12963,1.41614,1.30994,0.00132053,0.00132053,0.00132053
3,41.7412,1.21835,1.07063,1.2982,0.73618,0.71187,0.73833,0.5056,1.26394,1.17516,1.35197,0.00197403,0.00197403,0.00197403
4,54.4103,1.18997,1.02438,1.29001,0.74917,0.76702,0.74956,0.46342,1.40554,1.52442,1.44969,0.0019703,0.0019703,0.0019703
5,67.0326,1.20733,0.97012,1.28867,0.87031,0.82175,0.85368,0.6055,1.13111,0.8987,1.27913,0.0019604,0.0019604,0.0019604
6,79.8142,1.14833,0.94087,1.27115,0.86875,0.85554,0.86403,0.64222,1.02323,0.82361,1.2407,0.0019505,0.0019505,0.0019505
7,92.4752,1.11818,0.91711,1.26674,0.87012,0.83174,0.84266,0.63679,1.01676,0.83377,1.22917,0.0019406,0.0019406,0.0019406
8,106.08,1.09389,0.88024,1.23945,0.87913,0.83163,0.85422,0.65499,0.96075,0.82992,1.20062,0.0019307,0.0019307,0.0019307
9,120.701,1.09191,0.85762,1.24691,0.86288,0.86689,0.8691,0.66994,0.97969,0.83323,1.23508,0.0019208,0.0019208,0.0019208
10,136.289,1.06281,0.83315,1.23228,0.86902,0.85758,0.88126,0.66894,0.97392,0.81672,1.20112,0.0019109,0.0019109,0.0019109
11,151.106,1.06428,0.81876,1.22807,0.89049,0.86905,0.846,0.63187,1.03419,0.77047,1.2597,0.001901,0.001901,0.001901
12,166.191,1.01803,0.78325,1.19876,0.90801,0.85204,0.88718,0.68911,0.90866,0.71795,1.16691,0.0018911,0.0018911,0.0018911
13,182.128,1.02572,0.77993,1.2073,0.91495,0.87585,0.891,0.66061,1.04496,0.71434,1.25838,0.0018812,0.0018812,0.0018812
14,197.776,1.00611,0.78388,1.19824,0.92422,0.87116,0.90552,0.70163,0.93138,0.67576,1.15797,0.0018713,0.0018713,0.0018713
15,210.68,1.00483,0.7972,1.21225,0.90092,0.87075,0.88842,0.6747,0.98573,0.70179,1.21789,0.0018614,0.0018614,0.0018614
16,224.6,0.9968,0.75611,1.19784,0.92117,0.85034,0.89716,0.7002,0.92796,0.66784,1.17071,0.0018515,0.0018515,0.0018515
17,238.036,1.00354,0.74609,1.20056,0.89342,0.83333,0.86493,0.67389,0.93606,0.75086,1.18247,0.0018416,0.0018416,0.0018416
18,250.703,0.97153,0.75047,1.18648,0.91532,0.86735,0.89351,0.70756,0.88911,0.67492,1.16325,0.0018317,0.0018317,0.0018317
19,263.531,0.98835,0.77019,1.20659,0.9295,0.87415,0.89731,0.7081,0.89724,0.66658,1.16733,0.0018218,0.0018218,0.0018218
20,276.336,0.96514,0.74495,1.16998,0.88498,0.83844,0.87041,0.67509,0.99378,0.85586,1.19472,0.0018119,0.0018119,0.0018119
21,289.094,0.96432,0.741,1.18574,0.93241,0.86812,0.91347,0.72818,0.87614,0.61985,1.1301,0.001802,0.001802,0.001802
22,302.017,0.92742,0.69746,1.15039,0.93591,0.86916,0.90407,0.72371,0.86734,0.62359,1.11973,0.0017921,0.0017921,0.0017921
23,315.646,0.93165,0.70324,1.16353,0.91758,0.87093,0.90596,0.69908,0.94227,0.64351,1.16376,0.0017822,0.0017822,0.0017822
24,329.463,0.95135,0.70867,1.1602,0.92998,0.85833,0.89502,0.7222,0.84607,0.67259,1.12243,0.0017723,0.0017723,0.0017723
25,343.054,0.93677,0.70435,1.16223,0.9442,0.86337,0.89571,0.71783,0.84622,0.65403,1.11814,0.0017624,0.0017624,0.0017624
26,356.608,0.91563,0.68742,1.14707,0.91587,0.88863,0.90933,0.72492,0.86595,0.61694,1.13826,0.0017525,0.0017525,0.0017525
27,369.709,0.91791,0.68918,1.15799,0.90163,0.88095,0.90382,0.73169,0.81667,0.62558,1.10446,0.0017426,0.0017426,0.0017426
28,383.604,0.9226,0.65691,1.15237,0.92924,0.86565,0.90436,0.72337,0.86488,0.6155,1.12999,0.0017327,0.0017327,0.0017327
29,397.183,0.89925,0.66172,1.13863,0.94844,0.87601,0.91321,0.74784,0.81747,0.61175,1.11269,0.0017228,0.0017228,0.0017228
30,410.783,0.91841,0.68504,1.16168,0.94233,0.86224,0.90532,0.72881,0.85754,0.63948,1.14398,0.0017129,0.0017129,0.0017129
31,424.584,0.9072,0.68258,1.1636,0.94086,0.87415,0.90624,0.7317,0.84379,0.60908,1.12784,0.001703,0.001703,0.001703
32,438.85,0.90864,0.67999,1.15646,0.93249,0.89116,0.92141,0.74153,0.82771,0.57943,1.09814,0.0016931,0.0016931,0.0016931
33,453.831,0.88826,0.66205,1.13964,0.9538,0.87245,0.91828,0.74082,0.82003,0.58726,1.09954,0.0016832,0.0016832,0.0016832
34,468.242,0.8924,0.66574,1.14523,0.95241,0.85884,0.91216,0.74007,0.80404,0.58644,1.08804,0.0016733,0.0016733,0.0016733
35,482.345,0.87236,0.64488,1.12359,0.95727,0.87639,0.91807,0.74365,0.8257,0.57677,1.10509,0.0016634,0.0016634,0.0016634
36,496.563,0.8796,0.6517,1.13667,0.94865,0.86395,0.91243,0.73666,0.80772,0.61907,1.08007,0.0016535,0.0016535,0.0016535
37,511.228,0.873,0.63967,1.13776,0.94681,0.86395,0.91378,0.74394,0.81758,0.58279,1.10714,0.0016436,0.0016436,0.0016436
38,526.6,0.88037,0.64607,1.13652,0.9606,0.8708,0.91743,0.73841,0.81249,0.57147,1.1074,0.0016337,0.0016337,0.0016337
39,541.399,0.86461,0.64809,1.12889,0.94618,0.87585,0.92268,0.75642,0.80563,0.57723,1.08439,0.0016238,0.0016238,0.0016238
40,556.534,0.85972,0.63573,1.13089,0.93955,0.87223,0.91496,0.74338,0.81554,0.59238,1.09328,0.0016139,0.0016139,0.0016139
41,571.109,0.86498,0.63988,1.12261,0.94099,0.88435,0.91854,0.75471,0.78892,0.59132,1.06515,0.001604,0.001604,0.001604
42,585.37,0.86745,0.6344,1.12678,0.96211,0.86367,0.91578,0.74029,0.8214,0.57963,1.11422,0.0015941,0.0015941,0.0015941
43,599.546,0.85923,0.63393,1.11483,0.95882,0.87115,0.91792,0.74574,0.81786,0.575,1.08621,0.0015842,0.0015842,0.0015842
44,613.727,0.85246,0.62003,1.12475,0.94838,0.87484,0.92176,0.74575,0.81402,0.58358,1.0729,0.0015743,0.0015743,0.0015743
